,Question,Answer,Level,Category,Type,Type,Answer Description
,A firm has a P/E of 18.75 and a five year growth rate forecast of 15.32%. The median PEG for a group of firms having comparable risk to the given firm is 0.92. The stock is,B,M,Numerical,Single Choice,Investment Banking,
,overvalued as its PEG ratio is 0.82,,,,,,
,overvalued as its PEG ratio is 1.22,,,,,,
,undervalued as its PEG ratio is 0.82,,,,,,
,undervalued as its PEG ratio is 0.64,,,,,,
,,,,,,,
,Abc has a P/E of 27.52 while the group median P/E is 33.25. Assuming all the members of group have similar products the firm is,C,E,Theory,Single Choice,Investment Banking,
,correctly valued,,,,,,
,overvalued,,,,,,
,undervalued,,,,,,
,can't say,,,,,,
,,,,,,,
,"Abc paid a dividend of $1.35 per share. The payout ratio is 67%, ROE is 23% and expected growth rate of 7.6%. The expected return for shareholders is 14%. The price to book value ratio is",D,M,Numerical,Single Choice,Investment Banking,
,1.03,,,,,,
,1.22,,,,,,
,1.19,,,,,,
,2.41,,,,,,
,,,,,,,
,Which of the following investment strategies is consistent with high dividend yield stocks?,C,E,Theory,Single Choice,Investment Banking,
,Blended,,,,,,
,Momentum,,,,,,
,Value,,,,,,
,none of the above,,,,,,
,,,,,,,
,The average ROE for Abc was 32% in the last cycle. Abc has an EPS of $5. The payout ratio is 30% and the current book value per share is $14. The shares trade in the market at the rate of $54. The normalized EPS is,A,M,Numerical,Single Choice,Investment Banking,
,$4.48,,,,,,
,$5.00,,,,,,
,$5.26,,,,,,
,$6.00,,,,,,
,,,,,,,
,Abc has a P/S ratio of 2 and the net profit margin of 5% and a growth rate of 4%. The P/E ratio based on Gordon growth model is,B,M,Numerical,Single Choice,Investment Banking,
,34.8,,,,,,
,38.5,,,,,,
,40,,,,,,
,42.8,,,,,,
,,,,,,,
,Abc has a P/B ratio of 5. ROE is expected to be 18% and market price per share is $25 and growth rate is 8%. The cost of equity implied by current P/B ratio is,D,E,Numerical,Single Choice,Investment Banking,
,6%,,,,,,
,7%,,,,,,
,8%,,,,,,
,10%,,,,,,
,,,,,,,
,Being on the sell-side is more profitable for an I-bank,A,E,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,BuyBack increases the Earning per Share of a company,A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,MM Model states that the capital structure has a huge impact on the value of the firm,B,E,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Increase in the interest rates leads to an increase in stock price,B,E,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,EV/ EBITDA is used for comparison where there is no significant difference in the capital structure of two firms,B,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Taxable income is computed using cash method while accounting income is computed using accrual method,A,E,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Buying a put is same as selling a call,B,E,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,NOPAT is same as Free cash flow to the firm,B,E,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Both NPV and IRR take into effect the risk involved in a project,B,E,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"The higher the degree of operating leverage, the greater the danger of forecasting",A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,EBIT is same as cash from operating activities,A,E,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Cost of Equity increases with increase in the leverage,A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"Common stockholders are able to vote for the board of directors, on merger decisions, and on the selection of auditors.",A,E,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Cumulative voting makes it possible for a minority shareholder to have more proportional representation on the board.,A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"The call feature benefits the firm because when the stock's market price is lower than the call price, the firm can call the shares and reissue them later at a higher price.",B,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"The dividends of non-cumulative preference shares do not accumulate over time when they are not paid, but dividends for any period must be paid before common shareholders can receive dividends.",A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Common shares have less risk than preferred shares because the dividend is stable.,B,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Private equity markets are smaller than public markets but are growing rapidly.,A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Venture capital refers to the capital provided to firms early in their life cycles to fund their development and growth.,A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"In a Management buyout, investors buy all of a firm's equity using debt financing.",B,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Indirect investing in the securities of foreign companies simply refers to buying a foreign firm's securities in foreign markets,B,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Depository receipts (DRs) represent ownership in a foreign firm and are traded in the markets of other countries in the parent company currency.,B,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Global registered shares (GRS) are traded in different currencies on stock exchanges around the world.,A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Non-cumulative preferred shares have less risk than cumulative preferred shares because they retain the right to receive any missed dividends before any common stock dividends can be paid.,B,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"For both common and preferred shares, puttable shares are less risky and callable shares are more risky compared to shares with neither option",A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Callable shares usually have higher dividend yields than non-callable shares.,A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"Conglomerate discount is based on the idea that investors apply a markdown to the value of a company that operates in multiple unrelated industries, compared to the value a company that has a single industry focus",A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Leading P/E uses earnings over the most recent 12 months in the denominator.,B,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,The amount that's left after the firm has met all its obligations to its other investors is called free cash flow to equity.,A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"P/S ratio is meaningful even for distressed firms, since sales revenue is always positive.",A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,P/S ratios is useful to capture differences in cost structures across companies.,B,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,P/E ratios are particularly appropriate for valuing stocks in mature or cyclical industries and start-up companies with no record of earnings.,B,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Price to cash flow is more stable than price to earnings.,A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Empirical evidence indicates that differences in price to sales are significantly related to differences in long-run average stock returns.,B,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Cash flow is easier for managers to manipulate than earnings.,B,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Dividends are not as risky as the capital appreciation component of total return.,A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"The dividend displacement of earnings concept argues that dividends paid now displace future earnings, which implies a trade-off between current and future cash flows.",A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Controlling shareholders can also enjoy excessive compensation and other perquisites to the detriment of minority shareholders.,A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,The prior transaction method (PTM) uses transactions data from the stock of the actual subject company and is most appropriate when valuing minority (non controlling) interests.,A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,c) Holding Period Return> Arithmetic Return> Geometric Return,B,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"Transaction-related valuations are performed when there is venture capital financing, an IPO, a sale of the firm, bankruptcy, or performance-based managerial compensation.",A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"Multifactor models can have greater explanatory power than the CAPM, which is a single-factor model.",A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,The build up method is a multifactor model that attempts to account for the higher returns generally associated with small-cap stocks.,B,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"The betas tell us about the characteristics of the asset being evaluated, and the risk premia tell us how those characteristics are priced in the market.",A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"Beta drift refers to the observed tendency of an estimated beta
 to revert to a value of 1.0 over time.",A,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Country Risk rating model uses a corresponding developed market as a benchmark and add a premium for the emerging market,B,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Country Spread model estimates a regression equation using the equity risk premium for developed countries as the dependent variable and risk ratings (published by Institutional Investor) for those countries as the independent variable.,B,M,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,A public sale of the firm's equity increases its liquidity.,A,E,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Compliance-related valuations are performed for legal or regulatory reasons and primarily focus on financial reporting and tax issues.,A,E,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Compliance-related valuations are necessary when selling or financing a firm.,B,E,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"Transaction-related valuations may be required for shareholder suits, damage claims, lost profits claims, or divorce settlements.",B,E,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Market approach values a firm as the present value of its expected future income.,B,E,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Asset based approach values a firm using the price multiples based on recent sales of comparable assets.,B,E,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"In a strategic transaction, valuation of the firm is based in part on the perceived synergies with the acquirer's other assets.",A,E,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"A financial transaction assumes no synergies, as when one firm buys another in a dissimilar industry.",A,E,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"The guideline public company method (GPCM) uses price multiples from trade data for public companies, with adjustments to the multiples to account for differences between the subject firm and the comparables",A,E,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,"In an efficient market, upon declaration of dividend, stock price increases till the cum-dividend date by the amount of the dividend and regains the original price by the ex-dividend date",A,H,Theory,Single Choice,Investment Banking,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
400,"The preliminary prospectus, which has a statement on its cover that the registration statement has not yet become effective, is referred to as a (an) __________.",A,M,Theory,Single Choice,Investment Banking,
,red herring,,,,,,
,registration statement,,,,,,
,underwriting syndicate,,,,,,
,standby arrangement,,,,,,
,,,,,,,
401,A market where new securities are bought and sold for the first time is known as a __________ market.,A,M,Theory,Single Choice,Investment Banking,
,primary,,,,,,
,secondary,,,,,,
,tertiary,,,,,,
,capital,,,,,,
,,,,,,,
402,"A market for existing (used) securities, such as the NYSE or AMEX, rather than new issues is known as the __________ market.",B,M,theory,Single Choice,Investment Banking,
,primary,,,,,,
,secondary,,,,,,
,tertiary,,,,,,
,capital.,,,,,,
,,,,,,,
403,"A market for relatively long-term (greater than one year original maturity) financial instruments (e.g., bonds and stocks) is known as the __________ market.",D,M,theory,Single Choice,Investment Banking,
,primary,,,,,,
,secondary,,,,,,
,tertiary,,,,,,
,capital,,,,,,
,,,,,,,
404,Which securities law requires that public offerings be registered with the federal government before they are sold?,C,M,GK,Single Choice,Investment Banking,
,Underwritten Rule 144a.,,,,,,
,Blue Sky Laws.,,,,,,
,Securities Exchange Act of 1933.,,,,,,
,Securities Exchange Act of 1934.,,,,,,
,,,,,,,
405,Which securities law regulates the secondary market for long-term securities already outstanding?,D,M,GK,Single Choice,Investment Banking,
,Underwritten Rule 144a.,,,,,,
,Blue Sky Laws.,,,,,,
,Securities Exchange Act of 1933.,,,,,,
,Securities Exchange Act of 1934.,,,,,,
,,,,,,,
406,"An arrangement with a single investment banker or group of investment bankers to ""stand by"" and be ready to underwrite any unsold portion of an issue, is referred to as a (an) __________.",D,M,GK,Single Choice,Investment Banking,
,red herring,,,,,,
,registration statement,,,,,,
,underwriting syndicate,,,,,,
,standby arrangement,,,,,,
407,,,,,,,
,Which securities law(s) is (are) involved with state laws regulating the offering and sale of securities?,B,M,GK,Single Choice,Investment Banking,
,Underwritten Rule 144a.,,,,,,
,Blue Sky Laws.,,,,,,
,Securities Exchange Act of 1933.,,,,,,
,Securities Exchange Act of 1934.,,,,,,
408,,,,,,,
,Which of the following is privately placed common stock that cannot be immediately resold?,B,M,theory,Single Choice,Investment Banking,
,Red herring.,,,,,,
,Letter stock.,,,,,,
,Initial public offering.,,,,,,
409,Right.,,,,,,
,,,,,,,
,Which of the following is a short-term option to buy a certain number of securities from the issuing corporation?,D,M,theory,Single Choice,Investment Banking,
,Red herring.,,,,,,
,Letter stock.,,,,,,
,Initial public offering.,,,,,,
410,Right.,,,,,,
,,,,,,,
,Which of the following statements is correct regarding asymmetric information?,C,E,theory,Single Choice,Investment Banking,
,"Asymmetric information is a MCQ of information flow, which has been proven to not have relevance in the financial marketplace",,,,,,
,This is a MCQ where investors have better information than myopic (shortsighted) management.,,,,,,
411,"This occurs when one party, say management, has better information than another party, say investors, about relevant information to each party.",,,,,,
,This occurs when one party has relevant information and uses it to intentionally damage another party.,,,,,,
,,,,,,,
,"A temporary combination of investment banking firms formed to sell a new security issue, can be referred to as a (an) __________.",C,E,GK,Single Choice,Investment Banking,
,red herring,,,,,,
,registration statement,,,,,,
412,underwriting syndicate,,,,,,
,standby arrangement,,,,,,
,,,,,,,
,"What happens, according to the text, to the average common stock price immediately after the announcement of a new equity issue by a publicly traded firm?",B,E,theory,Single Choice,Investment Banking,
,The average stock price increases a few percentage points.,,,,,,
413,The average stock price decreases a few percentage points.,,,,,,
,The average stock price does not generally change because no new information is provided to investors.,,,,,,
,The average stock price does not generally change because of asymmetric information.,,,,,,
,,,,,,,
,The New York Stock Exchange (NYSE) can be considered as being a part of the __________ and the __________.,D,E,GK,Single Choice,Investment Banking,
,capital market; money market,,,,,,
414,capital market; primary market for long-term securities,,,,,,
,OTC market; secondary market for long-term securities,,,,,,
,secondary market for long-term securities; capital market,,,,,,
,,,,,,,
,Which of the following is not a method a firm can use to publicly issue common stock?,A,E,theory,Single Choice,Investment Banking,
415,Private placement.,,,,,,
,Firm commitment underwriting.,,,,,,
,Shelf registration.,,,,,,
,Best efforts offering.,,,,,,
,,,,,,,
,Which of the following is not a method a firm can use to finance their long-term needs externally?,A,E,theory,Single Choice,Investment Banking,
416,Retained earnings.,,,,,,
,Public issue.,,,,,,
,Privileged subscription.,,,,,,
,Private placement.,,,,,,
,,,,,,,
417,How are investment bankers generally compensated under traditional underwriting?,C,E,theory,Single Choice,Investment Banking,
,"The stockbroker, representing the investment banker, charges a commission to investors.",,,,,,
,The leader underwriter in the underwriting syndicate dictates the commission that the other firms must charge so that investors pay for a majority of the underwriting expense.,,,,,,
,Investment bankers earn a spread based on the difference between the purchase price from the firm and the sales price to investors of the securities being underwritten.,,,,,,
,"The issuing firm pays a flat fee, usually $1 million, plus all of the commissions charge by stockbrokers who are ultimately selling the securities to investors.",,,,,,
,,,,,,,
418,"If the market price of a stock ""rights-on"" is $50 a share, the subscription price is $40 a share, and it takes nine rights to buy an additional share of common stock, the theoretical value of a right when the stock is selling ""rights-on "" is how much?",A,E,numerical,Single Choice,Investment Banking,
,$1.00,,,,,,
,$1.11,,,,,,
,$4.00,,,,,,
,$5.00,,,,,,
419,,,,,,,
,The __________ is a disclosure document filed with the SEC in order to register a new security and includes the prospectus and other SEC required information.,B,E,theory,Single Choice,Investment Banking,
,red herring,,,,,,
,registration statement,,,,,,
,underwriting syndicate,,,,,,
,standby arrangement,,,,,,
,,,,,,,
420,What is a bought deal?,A,E,theory,Single Choice,Investment Banking,
,The underwriter of a security issuance buys all the securities and subsequently worries about reselling them in financial markets.,,,,,,
,The underwriter of a security issuance neither buys any securities nor provides any guarantees to be able to place the securities. The underwrite merely promises its best efforts during the issuance process.,,,,,,
,It is a deal in which an investment banking division accepts deposits from its client.,,,,,,
,It is a deal that an investment banker makes while attending a symphony concert.,,,,,,
,,,,,,,
,Which of the following are important pieces of legislation for the investment banking business and what is their main content?,B:C,E,GK,Multiple Choice,Investment Banking,
,The Glass-Steagall Act from 1933 separated investment banking and commercial banking all over the world.,,,,,,
,"In the spirit of the Volcker Rule, the Dodd-Frank Act from 2010 in the U.S. prohibits proprietary trading at commercial banks and states that commercial banks cannot own hedge funds or private equity funds.",,,,,,
,The Lincoln Rule in the Dodd-Frank Act from 2010 in the U.S. bars the access of swap dealers to the Federal Reserves discount window.,,,,,,
,"The Churchill Rule, introduced by the Financial Services Authority in the U.K.in 2009, mandates that all banks the want to operate at the London Stock Exchange must move their world headquarters to London",,,,,,
,,,,,,,
,"What does Gary Gorton mean, when he claims that the propagation of the financial crisis from 2007-2008 was due to a run on the repo?",D,H,GK,Single Choice,Investment Banking,
,Repo Bank was the largest bank in Europe and it became insolvent because of a bank run.,,,,,,
,"Repos is the nickname for so-called shadow banks, which are small commercial banks in the U.S. During the financial crisis, many of these small commercial banks had to be rescued by the Federal Deposit Insurance Corporation (FDIC).",,,,,,
,"Repos, which is short for repurchase agreements, are credit default swaps that protect against losses of Lehman Brothers. After Lehman Rsquo;s collapse on September 15, 2008, there was a run on these contracts.",,,,,,
,"Repos, which is short for repurchase agreements, are short-term loans between institutional investors that in principle share many similarities with deposits at commercial banks. A loss of confidence in this market led to a run in this market, leading to a withdrawal of funding, which shares qualitative characteristics with a bank run on a commercial bank.",,,,,,
