,Question,Answer,Level,Category,Type,Tag,Answer Description
29,"According to capital market theory, which of the following represents the risky portfolio that should be held by all investors who desire to hold risky assets?",A,E,Theory,Single Choice,Portfolio Management,"Capital market theory suggests that all investors should invest in the same portfolio of risky assets, and this portfolio is located at the point of tangency of the CML and the efficient frontier of risky assets. Any point below the CML is suboptimal, and points above the CML are not feasible."
a),The point of tangency between the capital market line (CML) and the efficient frontier.,,,,,,
b),Any point on the efficient frontier and to the right of the point of tangency between the CML and the efficient frontier.,,,,,,
c),Any point on the efficient frontier and to the left of the point of tangency between the CML and the efficient frontier.,,,,,,
d),None of these,,,,,,
,,,,,,,
30,"In equilibrium, investors should only expect to be compensated for bearing systematic risk because:",A,E,Theory,Single Choice,Portfolio Management,"In equilibrium, investors should not expect to earn additional return for bearing nonsystematic risk because this risk can be eliminated by diversification. Individual securities have both systematic and nonsystematic risk. Systematic risk is market risk; nonsystematic risk is specific to individual securities."
a),nonsystematic risk can be eliminated by diversification.,,,,,,
b),individual securities in equilibrium only have systematic risk.,,,,,,
c),systematic risk is specific to the securities the investor selects.,,,,,,
d),None of these,,,,,,
,,,,,,,
1,Which of the following is most likely?,A,E,Theory,Single Choice,Portfolio Management,"The diversification ratio is the ratio of the standard deviation of an
 equal-weighted portfolio to the standard deviation of a randomly
 selected component of the portfolio. The lower the diversification
 ratio, the greater the risk reduction benefits of diversification and the
 greater the portfolio effect."
a),"The lower the diversification ratio, the greater the risk reduction benefits of diversification and the greater the portfolio effect",,,,,,
b),"The higher the diversification ratio, the greater the risk reduction benefits of diversification and the greater the portfolio effect",,,,,,
c),"The lower the diversification ratio, the lower the risk reduction benefits of diversification and the greater the portfolio effect.",,,,,,
d),None of the given options,,,,,,
,,,,,,,
2,Which of the following is most likely to have the lowest risk tolerance?,A,M,Theory,Single Choice,Portfolio Management,"Banks typically have low risk tolerance, while foundations and defined-benefit pension plans have longer time horizons and a higher tolerance for risk."
a),Banks,,,,,,
b),Foundations,,,,,,
c),Defined-benefit pension plans,,,,,,
d),None of these,,,,,,
,,,,,,,
3,Determining the portfolio’s asset allocation is part of the:,B,E,Theory,Single Choice,Portfolio Management,Determining the portfolio’s asset allocation is part of the execution phase of constructing a portfolio
a),Planning phase.,,,,,,
b),Execution phase.,,,,,,
c),Feedback phase.,,,,,,
d),None of these,,,,,,
,,,,,,,
4,"Consider the following statements:

 Statement 1: Open-end funds need to keep cash to fund redemptions.
 Statement 2: Closed-end funds cannot accept new investments into the fund.

 Which of the following is most likely?",C,M,Theory,Single Choice,Portfolio Management,Both statements are indeed correct.
a),Only Statement 1 is correct.,,,,,,
b),Only Statement 2 is correct.,,,,,,
c),Both statements are correct.,,,,,,
d),None of these,,,,,,
,,,,,,,
5,"Consider the following statements:

 Statement 1: ETFs are similar to open-end funds in that they usually trade close to their NAV per share.
 Statement 2: ETFs are similar to closed-end funds in that they trade in the secondary market.

 Which of the following is most likely?",C,M,Theory,Single Choice,Portfolio Management,Both statements are indeed correct.
a),Only Statement 1 is correct.,,,,,,
b),Only Statement 2 is correct.,,,,,,
c),Both statements are correct.,,,,,,
d),None of these,,,,,,
,,,,,,,
6,A balanced fund typically invests in:,C,M,Theory,Single Choice,Portfolio Management,Balanced or hybrid funds invest in both bonds and equity securities.
a),Debt securities only.,,,,,,
b),Short-term debt securities only.,,,,,,
c),Debt and equity securities,,,,,,
d),None of these,,,,,,
,,,,,,,
7,Which of the following investment vehicles entail incentive-based fees for managers?,A,E,Theory,Single Choice,Portfolio Management,Management fees in hedge funds also have a performance-based component.
a),Hedge funds,,,,,,
b),Mutual funds,,,,,,
c),Separately managed accounts,,,,,,
d),None of these,,,,,,
,,,,,,,
8,Which of the following investment vehicles least likely have minimum investment requirements?,B,E,Theory,Single Choice,Portfolio Management,Investors can participate in mutual funds with a relatively small initial investment. This is not the case with SMAs and hedge funds.
a),Separately managed accounts,,,,,,
b),Mutual funds,,,,,,
c),Hedge funds,,,,,,
d),None of these,,,,,,
,,,,,,,
9,Eventual exit strategy is an important consideration when investing in:,C,E,Theory,Single Choice,Portfolio Management,The eventual exit strategy is an important consideration when investing in venture capital funds.
a),Hedge funds.,,,,,,
b),Exchange traded funds.,,,,,,
c),Venture capital funds.,,,,,,
d),None of these,,,,,,
,,,,,,,
10,Which of the following individuals is most likely to be risk averse?,C,H,Theory,Single Choice,Portfolio Management,"Old people have a shorter investment time frame within which to make up any losses. Further, low income streams cannot help cover any shortfalls. Therefore, they are not likely to take up risky investments."
a),An old person with large net worth,,,,,,
b),A young person with moderate income expectations,,,,,,
c),An old person with a low income stream,,,,,,
d),None of these,,,,,,
,,,,,,,
11,"A study shows that over the last 10 years, there has been a positive relationship between risk and return on equity securities. This finding most likely supports the conclusion that market prices are predominantly determined by investors who are:",C,E,Theory,Single Choice,Portfolio Management,"Historically, there has been a positive relationship between risk and return, which suggests that market prices are primarily determined by investors who are predominantly risk averse."
a),Risk neutral.,,,,,,
b),Risk seeking.,,,,,,
c),Risk averse.,,,,,,
d),None of these,,,,,,
,,,,,,,
12,Which of the following is most likely?,A,M,Theory,Single Choice,Portfolio Management,"The greater the level of risk an investor can tolerate, the higher the level of risk she would be willing to take in her portfolio and the lower her aversion to risk"
a),"The higher an investor’s risk tolerance, the higher the level of risk acceptable to the investor and the lower her risk aversion.",,,,,,
b),"The lower an investor’s risk tolerance, the lower the level of risk acceptable to the investor and the lower her risk aversion.",,,,,,
c),"The higher an investor’s risk tolerance, the lower the level of risk acceptable to the investor and the higher her risk aversion",,,,,,
d),None of these,,,,,,
,,,,,,,
13,The risk aversion coefficient is most likely highest for:,A,E,Theory,Single Choice,Portfolio Management,"The risk aversion coefficient is higher for investors who are more risk averse, as additional risk reduces the total utility they derive from their portfolios."
a),A risk-averse investor,,,,,,
b),A risk-seeking investor,,,,,,
c),A risk-neutral investor,,,,,,
d),None of these,,,,,,
,,,,,,,
14,"Consider the following statements:

 Statement 1: The risk aversion coefficient for a risk-neutral investor equals one.
 Statement 2: Given a utility function, the risk-free asset offers the same level of utility to risk-averse, risk-seeking, and risk-neutral investors.
 
Which of the following is most likely?

",c,M,Theory,Single Choice,Portfolio Management,"The risk aversion coefficient for a risk-neutral investor equals zero, as her level of utility is unrelated to the risk inherent in her portfolio.
 The risk-free asset has zero risk so it offers the same level of utility to all investors."
,None is correct,,,,,,
a),Only Statement 1 is correct.,,,,,,
b),Only Statement 2 is correct.,,,,,,
c),Both statements are incorrect,,,,,,
,,,,,,,
15,"Consider the following statements:

 Statement 1: The lower the risk aversion coefficient, the lower the negative impact of risk on portfolio utility.
 Statement 2: The fact that indifference curves are upward sloping suggests that investors experience diminishing marginal utility of wealth.

 Which of the following is most likely?",A,E,Theory,Single Choice,Portfolio Management,"Statement 1 is correct. A lower risk aversion coefficient means effect of risk on portfolio utility will be lower. The fact that indifference curves are curved suggests that investors exhibit diminishing marginal utility of wealth. As more risk is added to the portfolio, the increase in return required increases at an increasing rate. The upward slope of indifference curve tells us that investors are
 risk averse—in order to be indifferent between two portfolios with different levels of risk, the high risk portfolio must offer a higher return as well."
a),Only Statement 1 is correct.,,,,,,
b),Only Statement 2 is correct.,,,,,,
c),Both statements are incorrect,,,,,,
d),None of these,,,,,,
,,,,,,,
16,Which of the following is most likely regarding the slope of indifference curves for risk-neutral and risk-seeking investors respectively?,A,E,Theory,Single Choice,Portfolio Management,"Risk-neutral investors have perfectly horizontal indifference curves, while risk-seeking investors have downward-sloping or negatively sloped indifference curves"
,Risk-Neutral Investors Risk-Seeking Investors,,,,,,
a),Zero Negative,,,,,,
b),One Positive,,,,,,
c),Negative Zero,,,,,,
d),None of these,,,,,,
,,,,,,,
17,"Consider the following statements:

 Statement 1: The risk aversion coefficient and the slope of an investor’s indifference curves are negatively related. 
Statement 2: Given two indifference curves, the one that lies further to the southeast offers a lower level of utility.

 Which of the following is most likely?",B,M,Theory,Single Choice,Portfolio Management,"The risk aversion coefficient and the slope of the investor’s indifference curve are positively related. For example, a risk-seeking investor has a negative risk aversion coefficient and a negatively sloped indifference curve. The indifference curve furthest to the northwest offers the highest level of utility."
a),Only Statement 1 is correct.,,,,,,
b),Only Statement 2 is correct.,,,,,,
c),Both statements are incorrect,,,,,,
d),None of these,,,,,,
,,,,,,,
18,The dependent and independent variable in the capital allocation line equation are most likely:,A,M,Theory,Single Choice,Portfolio Management,The CAL has expected return on the y-axis and portfolio risk on the xaxis.
,Dependent Variable Independent Variable,,,,,,
a),Expected return Total risk,,,,,,
b),Total risk Market risk premium,,,,,,
c),Expected return Market risk premium,,,,,,
d),None of these,,,,,,
,,,,,,,
19,If an indifference curve intersects the investor’s capital allocation line at two different points it is most likely that:,A,E,Theory,Single Choice,Portfolio Management,"An investor maximizes her utility when her indifference curve is
 tangent to the CAL. If the indifference curve intersects the CAL at two
 different points, an investor can optimize her utility by moving to an indifference curve that lies further north-west. All points on a given indifference curve offer the same level of utility. It is not necessary for the portfolios to be leveraged portfolios."
a),The investor is not maximizing her total utility.,,,,,,
b),The higher of the two points offers a higher level of utility.,,,,,,
c),The portfolios are leveraged portfolios,,,,,,
d),None of these,,,,,,
,,,,,,,
20,"Consider the following statements:

 Statement 1: At a given level of risk, the indifference curve for a more risk-seeking investor would have a greater slope than that of a less risk-seeking investor.
 Statement 2: The optimal portfolio for a more risk-averse investor would lie above and to the right of the optimal portfolio for a less riskaverse investor


 Which of the following is most likely?",C,M,Theory,Single Choice,Portfolio Management,A more risk-seeking (aggressive) investor’s indifference curve would be less steep (have a lower slope) as he does not require as much of an additional return to take more risk. The optimal portfolio for a more risk-averse (conservative) investor would lie below and to the left of the optimal portfolio for a less risk-averse (aggressive) investor.
a),Only Statement 1 is correct.,,,,,,
b),Only Statement 2 is correct.,,,,,,
c),Both statements are incorrect,,,,,,
d),None of these,,,,,,
,,,,,,,
21,A two-asset portfolio’s standard deviation is minimized when the correlation between the two assets equals:,C,E,Theory,Single Choice,Portfolio Management,Portfolio standard deviation is minimized when the correlation between the two assets equals −1.
a),1,,,,,,
b),Zero,,,,,,
c),−1,,,,,,
d),None of these,,,,,,
,,,,,,,
22,"Consider the following statements:

 Statement 1: At a given level of risk, the indifference curve for a more risk-seeking investor would have a greater slope than that of a less risk-seeking investor.
 Statement 2: The optimal portfolio for a more risk-averse investor would lie above and to the right of the optimal portfolio for a less riskaverse investor


 Which of the following is most likely?",C,M,Theory,Single Choice,Portfolio Management,"At a given level of risk, the indifference curve for a more risk-seeking investor would be flatter than that of a less risk-seeking investor. The optimal portfolio for a more risk-averse investor would lie above and to the left of the optimal portfolio for a less risk-averse investor."
a),Only Statement 1 is correct.,,,,,,
b),Only Statement 2 is correct.,,,,,,
c),Both statements are incorrect,,,,,,
d),None of these,,,,,,
,,,,,,,
23,An investor’s investment opportunity set most likely consists of:,B,E,Theory,Single Choice,Portfolio Management,The IOS consists of individual securities and portfolios that can be formed by combining those individual securities.
a),Individual assets only.,,,,,,
b),Individual assets and portfolios.,,,,,,
c),Portfolios only.,,,,,,
d),None of these,,,,,,
,,,,,,,
24,The minimum variance frontier most likely consists of:,B,E,Theory,Single Choice,Portfolio Management,"Assets with low correlations can be combined into portfolios that have a lower risk than any of the individual assets in the portfolio. The minimum variance frontier consists of portfolios that minimize the
 level of risk for each level of expected return"
a),Individual assets only.,,,,,,
b),Portfolios only.,,,,,,
c),Individual assets and portfolios,,,,,,
d),None of these,,,,,,
,,,,,,,
25,"Consider the following statements:

 Statement 1: The risk-return characteristics of portfolios that combine the risk-free asset with a risky asset or a portfolio of risky assets lie along a straight line.
 Statement 2: All other things remaining the same, the greater the slope of the capital allocation line, the better the risk-return characteristics of portfolios that lie on it.


 Which of the following is most likely?",C,M,Theory,Single Choice,Portfolio Management,The risk-return characteristics of portfolios that combine the risk-free asset with a risky asset or a portfolio of risky assets lie along a straight line as the correlation between the risk-free asset and any risky asset equals zero. All capital allocation lines have a constant gradient or slope. Portfolios on capital allocation lines with a steeper positive slope dominate all portfolios that lie on CALs with a lower slope (that lie below it).
a),Only Statement 1 is correct.,,,,,,
b),Only Statement 2 is correct.,,,,,,
c),Both statements are incorrect,,,,,,
d),None of these,,,,,,
,,,,,,,
26,The decision regarding which point along her CAL an investor selects as her portfolio is known as her:,C,E,Theory,Single Choice,Portfolio Management,Which portfolio along the CAL an investor chooses to invest in is her financing decision (how much she wants to invest at or borrow at the risk-free rate).
a),Investing decision.,,,,,,
b),Operating decision.,,,,,,
c),Financing decision.,,,,,,
d),None of these,,,,,,
,,,,,,,
27,The indifference curve of a relatively aggressive investor will be:,A,E,Theory,Single Choice,Portfolio Management,"A less risk-averse or aggressive investor would require lower additional return as compensation for bearing addition risk. Therefore, her indifference curve will be relatively flat systematic risk, or beta risk"
a),Upward sloping and relatively flat.,,,,,,
b),Downward sloping and relatively steep.,,,,,,
c),Upward sloping and relatively steep,,,,,,
d),None of these,,,,,,
,,,,,,,
28,"Consider the following statements:

 Statement 1: Risk-averse investors will only take on more risk if they are compensated for the additional risk in the form of higher expected return.
 Statement 2: Risk-averse investors prefer higher risk to lower risk for a given level of expected returns.
 
Which of the following is most likely?
",A,M,Theory,Single Choice,Portfolio Management,"Only Statement 1 is correct.
 Risk-averse investors prefer lower risk to higher risk for a given level of expected returns"
a),Only one statement is correct.,,,,,,
b),Both statements are incorrect.,,,,,,
c),Both statements are correct,,,,,,
d),None of these,,,,,,
,,,,,,,
29,Which of the following statements regarding the indifference curves is least accurate?,A,E,Theory,Single Choice,Portfolio Management,The slope of an indifference curve becomes steeper as more risk is taken.
a),Their slope decreases as more risk is taken.,,,,,,
b),A less risk-averse investor would have a flatter indifference curve.,,,,,,
c),They are upward sloping,,,,,,
d),None of these,,,,,,
,,,,,,,
30,An investor will be indifferent between two investments with:,A,E,Theory,Single Choice,Portfolio Management,An investor will be indifferent between two investments with different expected returns only if the investment with the lower expected return entails a lower level of risk.
a),"Different expected returns, if the investment with the lower expected return entails a lower level of risk.",,,,,,
b),"The same expected returns, if the investments have different levels of risk.",,,,,,
c),"Different expected returns, if the investment with the higher expected return entails a lower level of risk.",,,,,,
d),None of these,,,,,,
,,,,,,,
1,"Susan has a portfolio whose standard deviation is estimated to be
 11.68%. She is thinking of adding another asset to her portfolio whose
 standard deviation of returns is the same as her existing portfolio, but has a correlation coefficient with the existing portfolio of 0.65. If she adds the new asset to her portfolio, the standard deviation of the new portfolio will be:",B,M,Numerical,,,"Whenever the correlation coefficient is less than +1, diversification benefits occur and reduce the overall standard deviation of the portfolio greater the portfolio effect."
a),Equal to 11.68%.,,,,,,
b),Less than 11.68%.,,,,,,
c),More than 11.68%.,,,,,,
d),None of the given options,,,,,,
,,,,,,,
2,"Juan wants to invest in a portfolio consisting of two risky assets, A and B. He gathered the following information: Standard deviation of returns of asset A = 2.03% Standard deviation of returns of asset B = 3.55% Given that 35% of the funds are invested in asset A and the rest in asset B, the maximum risk of this portfolio as measured by its standard deviation is closest to:",B,M,Numerical,Single Choice,Portfolio Management,The maximum value for portfolio standard deviation will be obtained when the correlation coefficient equals +1. Portfolio standard deviation: [(0.352 × 0.02032) + (0.652 × 0.03552) + (2 × 0.35 × 0.65 × 0.0203 × 0.0355 × 1)] 0.5 Portfolio standard deviation = 0.03018 or 3.018%
a),0.016,,,,,,
b),0.0302,,,,,,
c),0.0241,,,,,,
d),None of these,,,,,,
,,,,,,,
3,"Consider the following statements:

 Statement 1: Maximum diversification benefits occur when the correlation coefficient equals +1.
 Statement 2: If the correlation coefficient between assets is negative, portfolio standard deviation is greater than when correlation coefficient equals zero.

 Which of the following is most likely?",B,E,Theory,Single Choice,Portfolio Management,"Maximum diversification benefits occur when the correlation coefficient equals −1. If the correlation coefficient between assets is negative, portfolio standard deviation is lower than when correlation
 coefficient equals zero."
a),Only one statement is correct.,,,,,,
b),Both statements are incorrect.,,,,,,
c),Both statements are correct,,,,,,
d),None of these,,,,,,
,,,,,,,
4,"A conservative investor wants to diversify his current portfolio of investments by investing in a high-risk, high-return asset. However, he also wants to reduce his overall risk. Which of the following correlation of returns between those on his new investment and his original portfolio offers the lowest risk?",B,M,Numerical,Single Choice,Portfolio Management,"A conservative investor can experience a higher return and a lower risk
 by diversifying into a high-risk, higher-return asset if the correlation between the assets is fairly low. Among the given choices, choice “B” offers the lowest correlation of returns between those on his new investment and his original portfolio and hence, offers the lowest risk."
a),0.354,,,,,,
b),−0.567,,,,,,
c),−0.242,,,,,,
d),None of these,,,,,,
,,,,,,,
5,"An analyst gathered the following information regarding three portfolios. Which portfolio is most likely to plot below the Markowitz efficient frontier?

Portfolio                Expected Return                Standard Deviation
     A                                       8%                                             13%
     B                                       15%                                           16%
     C                                       11%                                           20%",C,M,Numerical,Single Choice,Portfolio Management,Portfolio C lies below the Markowitz efficient frontier because Portfolio B offers a higher return at lower risk.
a),Portfolio A,,,,,,
b),Portfolio B,,,,,,
c),Portfolio C,,,,,,
d),None of these,,,,,,
,,,,,,,
6,"Consider the following statements:

 Statement 1: As correlation falls, the curvature of the line between the two assets’ risk-return profiles decreases.
 Statement 2: The expected return of the portfolio decreases as the correlation coefficient of the two assets decreases. 

Which of the following is most likely?",B,M,Theory,Single Choice,Portfolio Management,"As correlation falls, the curvature of the line between the two assets’
 risk-return profiles increases. The expected return of the portfolio does
 not vary with the correlation coefficient of the two assets."
a),Only one statement is correct.,,,,,,
b),Both statements are incorrect.,,,,,,
c),Both statements are correct,,,,,,
d),None of these,,,,,,
,,,,,,,
7,Which of the following statements is least accurate?,B,E,Theory,Single Choice,Portfolio Management,"The efficient frontier represents a set of portfolios that have the
 minimum expected risk for every given level of expected return.
 Alternatively, it represents the set of portfolios that have the maximum
 expected return for every given level of risk"
a),An optimal portfolio for an investor occurs where the indifference curve is tangent to the efficient frontier,,,,,,
b),The efficient frontier represents a set of portfolios that have the maximum expected risk for every given level of expected return.,,,,,,
c),The slope of the indifference curve represents the amount of extra return required by the investor to take on an additional unit of risk.,,,,,,
d),None of these,,,,,,
,,,,,,,
8,Which of the following statements is untrue regarding arithmetic and geometric return calculations?,C,E,Theory,Single Choice,Portfolio Management,"The arithmetic return will always be higher than the geometric return
 due to the compounding nature of the equation."
a),The arithmetic return is a simple average of all holding period returns,,,,,,
b),The geometric return basically represents a buy-and-hold strategy.,,,,,,
c),The arithmetic return will always be lower than the geometric return.,,,,,,
d),None of these,,,,,,
,,,,,,,
9,Which of the following risk factors comprises the bulk of risk for a fullydiversified portfolio?,C,E,Theory,Single Choice,Portfolio Management,"The covariance among the assets in the portfolio accounts for the bulk
 of risk."
a),Variance,,,,,,
b),Standard deviation,,,,,,
c),Covariance,,,,,,
d),None of these,,,,,,
,,,,,,,
10,"If Suzanne allocated to two different asset classes, each of which had a standard deviation of 20% and a correlation 0.9, what would her portfolio standard deviation be?",C,H,Theory,Single Choice,Portfolio Management,"Anytime a correlation between two assets is less than 1, diversification benefits are achieved. In this example, portfolio standard deviation would fall, but not by a large amount."
a),0.2,,,,,,
b),Higher than 20%,,,,,,
c),Lower than 20%,,,,,,
d),None of these,,,,,,
,,,,,,,
11,The greater the disparity between an investor’s cost of borrowing and,B,E,Theory,Single Choice,Portfolio Management,"The slope of the CML for lending portfolios (where a portion of the investor’s funds are invested in the risk-free asset) is dictated by the difference between the risk-free rate and the market portfolio.
 The slope of the CML for leveraged or borrowing portfolios (where the weight of the market portfolio of the investor’s portfolio is greater than 100%) is dictated by the difference between the cost of borrowing and the market portfolio. The greater the difference between the risk-free rate and the cost of borrowing, the greater the significance of the kink in the CML."
,the risk-free rate:,,,,,,
a),The greater the slope of the CML.,,,,,,
b),The more significant the kink in the CML.,,,,,,
c),The greater the expected return on the market portfolio.,,,,,,
d),None of these,,,,,,
,,,,,,,
12,A model that uses the relationship between security returns and,C,M,Theory,Single Choice,Portfolio Management,"Fundamental factor models use relationships between security returns
 and underlying fundamentals (e.g., earnings, earnings’ growth, and
 cash flow growth) to estimate returns"
,earnings growth is most likely an example of a:,,,,,,
a),Macroeconomic factor model.,,,,,,
b),Statistical factor model.,,,,,,
c),Fundamental factor model,,,,,,
d),None of these,,,,,,
,,,,,,,
13,"A regression of ABC Stock’s historical monthly returns against the return on the S&P 500 gives an alpha of 0.003 and a beta of 0.95. Given that ABC Stock rises by 4% during a month in which the market rose 2.25%, calculate the abnormal return on ABC Stock.",B,M,Numerical,Single Choice,Portfolio Management,"0.0244 or 2.44%
 ABC’s company-specific return (abnormal return) = 0.04 – 0.0244 =
 0.0156 or 1.56%"
a),0.0175,,,,,,
b),0.0156,,,,,,
c),0.0244,,,,,,
d),None of these,,,,,,
,,,,,,,
14,Beta is least likely defined as:,A,E,Theory,Single Choice,Portfolio Management,Beta is the ratio of the covariance of the stock’s return and the market return to the variance of market returns.
a),The ratio of the covariance of the stock’s return and the market return to the standard deviation of market returns.,,,,,,
b),The correlation between the asset and the market times the ratio of the standard deviation of the asset to the standard deviation of the market.,,,,,,
c),A measure of the sensitivity of the return on the asset to the market’s return,,,,,,
,,,,,,,
15,Can the CML be applied to price individual assets and inefficient portfolios?,B,E,Theory,Single Choice,Portfolio Management,"The CAL and the CML only applied to efficient portfolios, not to
 individual assets or inefficient portfolios. They use total risk on the xaxis,
 and since only systematic risk is priced, they can only be used for efficient portfolios (those with no unsystematic risk and whose total risk therefore was the same as their systematic risk)."
,Individual Assets Inefficient Portfolios,,,,,,
a),Yes Yes,,,,,,
b),No No,,,,,,
c),Yes No,,,,,,
d),None of these,,,,,,
,,,,,,,
16,The SML and CAPM can be used to price:,B,E,Theory,Single Choice,Portfolio Management,"The SML and the CAPM can be applied to any security or portfolio,
 regardless of whether it is efficient. This is because they are based only
 on a security’s systematic risk, not total risk"
a),"Individual assets and efficient portfolios only, not inefficient portfolios.",,,,,,
b),All assets and portfolios.,,,,,,
c),"Efficient and inefficient portfolios, but not individual assets",,,,,,
d),None of these,,,,,,
,,,,,,,
17,"Jennifer invests 30% of her funds in the risk-free asset, 45% in the market portfolio, and the rest in Beta Corp, a U.S. stock that has a beta of 0.9. Given that the risk-free rate and the expected return on the market are 7% and 16% respectively, the portfolio’s expected return is closest to:",A,M,Numerical,Single Choice,Portfolio Management,"Beta of the portfolio = w1 β 1 + w2 β 2 + w3 β 3
 Beta of the portfolio = (0.3 × 0) + (0.45 × 1) + (0.25 × 0.9) = 0.675
 Expected return of the portfolio = Rf + β (Rm – Rf)
 Expected return of the portfolio = 0.07 + 0.675 (0.16 – 0.07) = 0.1308
 or 13.08%"
a),0.1308,,,,,,
b),0.16,,,,,,
c),0.151,,,,,,
d),None of these,,,,,,
,,,,,,,
18,Which of the following portfolio performance measures equals the slope of the capital allocation line?,A,M,Theory,Single Choice,Portfolio Management,The slope of the CAL equals the difference between the asset/portfolio’s return and the risk-free rate divided by the standard deviation of the asset/portfolio
a),Sharpe ratio,,,,,,
b),Jensen’s alpha,,,,,,
c),Treynor ratio,,,,,,
d),None of these,,,,,,
,,,,,,,
19,Which of the following is most likely based on systematic risk?,B,E,Theory,Single Choice,Portfolio Management,The Sharpe ratio and M2 are based on total risk. The Treynor ratio is based on beta risk only
a),Sharpe ratio,,,,,,
b),Treynor ratio,,,,,,
c),M2,,,,,,
d),None of these,,,,,,
,,,,,,,
20,Which of the following most likely indicates the maximum fee an investor should pay a portfolio manager?,B,E,Theory,Single Choice,Portfolio Management,"Jensen’s alpha equals the difference between the portfolio’s actual return and the required return (as predicted by the CAPM) based on the asset’s systematic risk. An investor should not pay the portfolio
 manager a fee greater than the portfolio’s Jensen’s alpha, as such a fee would take the portfolio’s net return lower than the risk of a passively managed portfolio."
a),Sharpe ratio,,,,,,
b),Jensen’s alpha,,,,,,
c),Treynor ratio,,,,,,
d),None of these,,,,,,
,,,,,,,
21,"Which of the following is most likely regarding the security
 characteristic line?",C,M,Theory,Single Choice,Portfolio Management,"The security characteristic line (SCL) plots the excess returns of a
 security against the excess returns on the market"
a),It plots a security’s expected return against beta risk.,,,,,,
b),It plots a security’s excess return against total risk.,,,,,,
c),It plots a security’s excess return against excess returns on the,,,,,,
d),market.,,,,,,
,,,,,,,
22,Which of the following is least likely a limitation of the CAPM?,A,M,Theory,Single Choice,Portfolio Management,The CAPM is a single period model.
a),It is a multi-period model.,,,,,,
b),It is a single-factor model.,,,,,,
c),A true market portfolio is inobservable,,,,,,
d),None of these,,,,,,
,,,,,,,
23,Which of the following statements is most accurate?,C,E,Theory,Single Choice,Portfolio Management,The capital market line plots returns against total risk as measured by the standard deviation of returns
a),The capital market line plots returns against market risk.,,,,,,
b),The security market line plots returns against total risk.,,,,,,
c),The capital market line plots returns against standard deviation,,,,,,
d),None of these,,,,,,
,,,,,,,
24,A portfolio that lies to the left of the market portfolio on the CML is:,B,E,Theory,Single Choice,Portfolio Management,"A portfolio to the left of the market portfolio on the CML is less risky, as investors lend a proportion of their funds at the risk-free rate"
a),A borrowing portfolio.,,,,,,
b),A lending portfolio.,,,,,,
c),An efficient portfolio,,,,,,
d),None of these,,,,,,
,,,,,,,
25,"An analyst gathered the following information:

 Risk-free rate: 5%
 Market risk premium: 6%
 Beta: 0.8

 The required rate of return for the stock is closest to:",C,M,Numerical,Single Choice,Portfolio Management,Required rate of return = 5% + 0.8 (6%) = 9.8%
a),0.06,,,,,,
b),0.058,,,,,,
c),0.098,,,,,,
d),None of these,,,,,,
,,,,,,,
26,"An analyst gathered the following information regarding two stocks:

                                            Stock A             Stock B
 Beta                                            0.7                1.1
 Current market price              $20                 $35
 Expected dividend                    $1                  $1
 Expected price at year end     $23               $37

 Assuming a risk-free rate of 5% and the expected market return of
 12%, which of the following statements is most accurate?",C,H,Numerical,Single Choice,Portfolio Management,"Required return of Stock A = 5% + 0.7 (12% − 5%) = 9.9%
 Expected return of Stock A = (23 – 20 + 1) / 20 = 20%
 Since the expected return of Stock A is greater than its required return, it is underpriced and therefore the analyst should buy it.
 Required return of Stock B = 5% + 1.1 (12% − 5%) = 12.7%
 Expected return of Stock B = (37 – 35 + 1) / 35 = 8.57%
 Since the expected return of Stock B is less than its required return, it is overpriced and therefore the analyst should sell it."
a),Stock A is overpriced and therefore the analyst should sell it.,,,,,,
b),Stock B is underpriced and therefore the analyst should buy it.,,,,,,
c),Stock A is underpriced and therefore the analyst should buy it.,,,,,,
d),None of these,,,,,,
,,,,,,,
27,"If the covariance of the market’s returns with a stock’s returns is 0.007, and the standard deviation of the market’s returns is 0.07, the stock’s beta is closest to:",B,M,Numerical,Single Choice,Portfolio Management,"Variance of market’s returns = 0.072 = 0.0049
 Beta = 0.007 / 0.0049 = 1.43"
a),0.1,,,,,,
b),1.43,,,,,,
c),0.7,,,,,,
d),None of these,,,,,,
,,,,,,,
28,"Consider the following statements:

 Statement 1: All the portfolios on the capital market line are perfectly positively correlated.
 Statement 2: A risk-free asset has zero correlation with all other risky assets.

 Which of the following is most likely?",B,M,Theory,Single Choice,Portfolio Management,Both statements are correct.
a),Only one statement is correct.,,,,,,
b),Both statements are incorrect.,,,,,,
c),Both statements are correct,,,,,,
d),None of these,,,,,,
,,,,,,,
29,Which of the following statements is most accurate?,C,E,Theory,Single Choice,Portfolio Management,"Beta can be viewed as a standardized measure of systematic risk. All efficiently priced securities should lie on the security market line. Beta only determines where the security will lie on the security market line. If the beta for an asset is greater than 1, the asset has a higher normalized systematic risk than the market, which means that it is more volatile than the overall market portfolio and plots to the right of the market portfolio on the SML"
a),"If the beta for an asset is greater than 1, it will lie above the security market line",,,,,,
b),Beta can be viewed as a standardized measure of unsystematic risk.,,,,,,
c),Any security that plots below the security market line is considered overpriced,,,,,,
d),None of these,,,,,,
,,,,,,,
